AIMed_d30@1	Isolation of human PROTEINT1 and its binding specificity with PROTEINT2
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT0 PROTEINT1 with their two know substrate PROTEINT0 and the PROTEINT0 PROTEINT2 PROTEINT0
AIMed_d84@2	Use the yeast two-hybrid system a genetic assay for study protein-protein interaction we have examine and compare the interaction of the PROTEINT0 PROTEINT0 PROTEINT0 and the PROTEINT0 PROTEINT1 with their two know substrate PROTEINT0 and the PROTEINT0 PROTEINT0 PROTEINT2
AIMed_d84@4	Our finding can be summarize as follow i the tyrosine kinase activity of the PROTEINT1 be essential for the interaction with PROTEINT2 and PROTEINT0 ii PROTEINT0 and PROTEINT0 bind to the PROTEINT0 in the NPEY-juxtamembrane motif iii contrary to PROTEINT0 PROTEINT0 bind also to the major autophosphorylation site Tyr-1131 1135 and 1136 of the PROTEINT0 and iv the amino-terminal domain of PROTEINT0 be require for its association with the PROTEINT0 and the PROTEINT0
AIMed_d84@4	Our finding can be summarize as follow i the tyrosine kinase activity of the PROTEINT1 be essential for the interaction with PROTEINT0 and PROTEINT2 ii PROTEINT0 and PROTEINT0 bind to the PROTEINT0 in the NPEY-juxtamembrane motif iii contrary to PROTEINT0 PROTEINT0 bind also to the major autophosphorylation site Tyr-1131 1135 and 1136 of the PROTEINT0 and iv the amino-terminal domain of PROTEINT0 be require for its association with the PROTEINT0 and the PROTEINT0
AIMed_d84@4	Our finding can be summarize as follow i the tyrosine kinase activity of the PROTEINT0 be essential for the interaction with PROTEINT0 and PROTEINT0 ii PROTEINT1 and PROTEINT0 bind to the PROTEINT2 in the NPEY-juxtamembrane motif iii contrary to PROTEINT0 PROTEINT0 bind also to the major autophosphorylation site Tyr-1131 1135 and 1136 of the PROTEINT0 and iv the amino-terminal domain of PROTEINT0 be require for its association with the PROTEINT0 and the PROTEINT0
AIMed_d84@4	Our finding can be summarize as follow i the tyrosine kinase activity of the PROTEINT0 be essential for the interaction with PROTEINT0 and PROTEINT0 ii PROTEINT0 and PROTEINT1 bind to the PROTEINT2 in the NPEY-juxtamembrane motif iii contrary to PROTEINT0 PROTEINT0 bind also to the major autophosphorylation site Tyr-1131 1135 and 1136 of the PROTEINT0 and iv the amino-terminal domain of PROTEINT0 be require for its association with the PROTEINT0 and the PROTEINT0
AIMed_d84@4	Our finding can be summarize as follow i the tyrosine kinase activity of the PROTEINT0 be essential for the interaction with PROTEINT0 and PROTEINT0 ii PROTEINT0 and PROTEINT0 bind to the PROTEINT0 in the NPEY-juxtamembrane motif iii contrary to PROTEINT0 PROTEINT1 bind also to the major autophosphorylation site Tyr-1131 1135 and 1136 of the PROTEINT2 and iv the amino-terminal domain of PROTEINT0 be require for its association with the PROTEINT0 and the PROTEINT0
AIMed_d84@4	Our finding can be summarize as follow i the tyrosine kinase activity of the PROTEINT0 be essential for the interaction with PROTEINT0 and PROTEINT0 ii PROTEINT0 and PROTEINT0 bind to the PROTEINT0 in the NPEY-juxtamembrane motif iii contrary to PROTEINT0 PROTEINT0 bind also to the major autophosphorylation site Tyr-1131 1135 and 1136 of the PROTEINT0 and iv the amino-terminal domain of PROTEINT1 be require for its association with the PROTEINT2 and the PROTEINT0
AIMed_d84@4	Our finding can be summarize as follow i the tyrosine kinase activity of the PROTEINT0 be essential for the interaction with PROTEINT0 and PROTEINT0 ii PROTEINT0 and PROTEINT0 bind to the PROTEINT0 in the NPEY-juxtamembrane motif iii contrary to PROTEINT0 PROTEINT0 bind also to the major autophosphorylation site Tyr-1131 1135 and 1136 of the PROTEINT0 and iv the amino-terminal domain of PROTEINT1 be require for its association with the PROTEINT0 and the PROTEINT2
AIMed_d84@5	We propose that i the PROTEINT1 and the PROTEINT0 share at least in part the same molecular mechanism underlie their interplay with their two substrate PROTEINT2 and PROTEINT0 and ii PROTEINT0 interact with the PROTEINT0 in a fashion that be different from that use by PROTEINT0
AIMed_d84@5	We propose that i the PROTEINT1 and the PROTEINT0 share at least in part the same molecular mechanism underlie their interplay with their two substrate PROTEINT0 and PROTEINT2 and ii PROTEINT0 interact with the PROTEINT0 in a fashion that be different from that use by PROTEINT0
AIMed_d84@5	We propose that i the PROTEINT0 and the PROTEINT1 share at least in part the same molecular mechanism underlie their interplay with their two substrate PROTEINT2 and PROTEINT0 and ii PROTEINT0 interact with the PROTEINT0 in a fashion that be different from that use by PROTEINT0
AIMed_d84@5	We propose that i the PROTEINT0 and the PROTEINT1 share at least in part the same molecular mechanism underlie their interplay with their two substrate PROTEINT0 and PROTEINT2 and ii PROTEINT0 interact with the PROTEINT0 in a fashion that be different from that use by PROTEINT0
AIMed_d84@5	We propose that i the PROTEINT0 and the PROTEINT0 share at least in part the same molecular mechanism underlie their interplay with their two substrate PROTEINT0 and PROTEINT0 and ii PROTEINT1 interact with the PROTEINT2 in a fashion that be different from that use by PROTEINT0
AIMed_d84@5	We propose that i the PROTEINT0 and the PROTEINT0 share at least in part the same molecular mechanism underlie their interplay with their two substrate PROTEINT0 and PROTEINT0 and ii PROTEINT0 interact with the PROTEINT1 in a fashion that be different from that use by PROTEINT2
AIMed_d55@1	Human PROTEINT1 PROTEINT0 be a functional ligand for PROTEINT2 PROTEINT0 and PROTEINT0 and constitutively express by hepatocyte
AIMed_d55@1	Human PROTEINT1 PROTEINT0 be a functional ligand for PROTEINT0 PROTEINT2 and PROTEINT0 and constitutively express by hepatocyte
AIMed_d55@1	Human PROTEINT1 PROTEINT0 be a functional ligand for PROTEINT0 PROTEINT0 and PROTEINT2 and constitutively express by hepatocyte
AIMed_d55@1	Human PROTEINT0 PROTEINT1 be a functional ligand for PROTEINT2 PROTEINT0 and PROTEINT0 and constitutively express by hepatocyte
AIMed_d55@1	Human PROTEINT0 PROTEINT1 be a functional ligand for PROTEINT0 PROTEINT2 and PROTEINT0 and constitutively express by hepatocyte
AIMed_d55@1	Human PROTEINT0 PROTEINT1 be a functional ligand for PROTEINT0 PROTEINT0 and PROTEINT2 and constitutively express by hepatocyte
AIMed_d55@4	At relatively high concentration PROTEINT1 induce calcium mobilization and chemotaxis via PROTEINT2 and PROTEINT0
AIMed_d55@4	At relatively high concentration PROTEINT1 induce calcium mobilization and chemotaxis via PROTEINT0 and PROTEINT2
AIMed_d55@5	PROTEINT1 also induce calcium mobilization but marginal chemotaxis via PROTEINT2
AIMed_d55@6	Consistently PROTEINT1 be find to bind to PROTEINT2 PROTEINT0 and PROTEINT0 with relatively low affinity
AIMed_d55@6	Consistently PROTEINT1 be find to bind to PROTEINT0 PROTEINT2 and PROTEINT0 with relatively low affinity
AIMed_d55@6	Consistently PROTEINT1 be find to bind to PROTEINT0 PROTEINT0 and PROTEINT2 with relatively low affinity
AIMed_d55@7	The binding of PROTEINT1 to PROTEINT2 be much less significant
AIMed_d55@8	In spite of its binding to PROTEINT1 PROTEINT2 be unable to inhibit infection of an R5-type HIV-1 to activate human peripheral blood mononuclear cell even at high concentration
AIMed_d55@12	Take together PROTEINT1 be a new low-affinity functional ligand for PROTEINT2 PROTEINT0 and PROTEINT0 and be constitutively express by liver parenchymal cell
AIMed_d55@12	Take together PROTEINT1 be a new low-affinity functional ligand for PROTEINT0 PROTEINT2 and PROTEINT0 and be constitutively express by liver parenchymal cell
AIMed_d55@12	Take together PROTEINT1 be a new low-affinity functional ligand for PROTEINT0 PROTEINT0 and PROTEINT2 and be constitutively express by liver parenchymal cell
AIMed_d29@3	This work show that single and double Ala substitution of His18 and Phe21 in PROTEINT0 reduce up to 77-fold the binding affinity to PROTEINT0 PROTEINT1 receptor subtype A PROTEINT2 and B PROTEINT0 and to the PROTEINT0
AIMed_d29@3	This work show that single and double Ala substitution of His18 and Phe21 in PROTEINT0 reduce up to 77-fold the binding affinity to PROTEINT0 PROTEINT1 receptor subtype A PROTEINT0 and B PROTEINT2 and to the PROTEINT0
AIMed_d29@3	This work show that single and double Ala substitution of His18 and Phe21 in PROTEINT0 reduce up to 77-fold the binding affinity to PROTEINT0 PROTEINT1 receptor subtype A PROTEINT0 and B PROTEINT0 and to the PROTEINT2
AIMed_d29@8	This study demonstrate that PROTEINT1 recognize and activate PROTEINT2 PROTEINT0 and the PROTEINT0 by distinct mechanism
AIMed_d29@8	This study demonstrate that PROTEINT1 recognize and activate PROTEINT0 PROTEINT2 and the PROTEINT0 by distinct mechanism
AIMed_d29@8	This study demonstrate that PROTEINT1 recognize and activate PROTEINT0 PROTEINT0 and the PROTEINT2 by distinct mechanism
AIMed_d121@1	Several hydrophobic amino acid in the PROTEINT1 amino-terminal domain be require for transcriptional activation bind to PROTEINT2 and the adenovirus PROTEINT0 PROTEINT0 55-kD protein
AIMed_d121@1	Several hydrophobic amino acid in the PROTEINT1 amino-terminal domain be require for transcriptional activation bind to PROTEINT0 and the adenovirus PROTEINT2 PROTEINT0 55-kD protein
AIMed_d121@3	The acidic amino terminus of the PROTEINT1 protein have be show to contain this trans-activation activity as well as the domain for PROTEINT2 and adenovirus PROTEINT0 PROTEINT0 55-kD protein binding
AIMed_d121@3	The acidic amino terminus of the PROTEINT1 protein have be show to contain this trans-activation activity as well as the domain for PROTEINT0 and adenovirus PROTEINT2 PROTEINT0 55-kD protein binding
AIMed_d121@6	Rather the hydrophobic amino acid residue Leu-22 and Trp-23 of human PROTEINT1 be both require for trans-activation activity bind to the adenovirus PROTEINT2 55-kD protein and the human PROTEINT0 PROTEINT0 protein in vitro
AIMed_d121@6	Rather the hydrophobic amino acid residue Leu-22 and Trp-23 of human PROTEINT0 be both require for trans-activation activity bind to the adenovirus PROTEINT0 55-kD protein and the human PROTEINT1 PROTEINT2 protein in vitro
AIMed_d121@7	In addition hydrophobic residue Leu-14 and Phe-19 be crucial for the interaction between PROTEINT1 and human PROTEINT2 PROTEINT0
AIMed_d121@7	In addition hydrophobic residue Leu-14 and Phe-19 be crucial for the interaction between PROTEINT1 and human PROTEINT0 PROTEINT2
AIMed_d83@2	By rational mutagenesis receptor-specific functional analysis and visualization of complex formation in solution we identify individual amino acid side chain involve specifically in the interaction of PROTEINT1 PROTEINT0 with PROTEINT2 and not with the beta-component PROTEINT0 and PROTEINT0
AIMed_d83@2	By rational mutagenesis receptor-specific functional analysis and visualization of complex formation in solution we identify individual amino acid side chain involve specifically in the interaction of PROTEINT0 PROTEINT1 with PROTEINT2 and not with the beta-component PROTEINT0 and PROTEINT0
AIMed_d52@6	We show that the S252W mutation allow the mesenchymal splice form of PROTEINT0 PROTEINT1 to bind and to be activate by the mesenchymally express ligand PROTEINT2 or PROTEINT0 and the epithelial splice form of PROTEINT0 PROTEINT0 to be activate by PROTEINT0 PROTEINT0 and PROTEINT0
AIMed_d52@6	We show that the S252W mutation allow the mesenchymal splice form of PROTEINT0 PROTEINT1 to bind and to be activate by the mesenchymally express ligand PROTEINT0 or PROTEINT2 and the epithelial splice form of PROTEINT0 PROTEINT0 to be activate by PROTEINT0 PROTEINT0 and PROTEINT0
AIMed_d52@6	We show that the S252W mutation allow the mesenchymal splice form of PROTEINT0 PROTEINT0 to bind and to be activate by the mesenchymally express ligand PROTEINT0 or PROTEINT0 and the epithelial splice form of PROTEINT0 PROTEINT1 to be activate by PROTEINT2 PROTEINT0 and PROTEINT0
AIMed_d52@6	We show that the S252W mutation allow the mesenchymal splice form of PROTEINT0 PROTEINT0 to bind and to be activate by the mesenchymally express ligand PROTEINT0 or PROTEINT0 and the epithelial splice form of PROTEINT0 PROTEINT1 to be activate by PROTEINT0 PROTEINT2 and PROTEINT0
AIMed_d52@6	We show that the S252W mutation allow the mesenchymal splice form of PROTEINT0 PROTEINT0 to bind and to be activate by the mesenchymally express ligand PROTEINT0 or PROTEINT0 and the epithelial splice form of PROTEINT0 PROTEINT1 to be activate by PROTEINT0 PROTEINT0 and PROTEINT2
AIMed_d168@2	The PROTEINT1 PROTEINT0 PROTEINT2 be a member of a family of cytokine and growth factor receptor that share conserve feature in their extracellular and cytoplasmic domain
AIMed_d168@3	We have use site-specific mutagenesis within the extracellular domain of the PROTEINT1 to search for amino acid residue involve in PROTEINT2 PROTEINT0 binding
AIMed_d168@3	We have use site-specific mutagenesis within the extracellular domain of the PROTEINT1 to search for amino acid residue involve in PROTEINT0 PROTEINT2 binding
AIMed_d168@4	Mutant protein be express in bacteria as soluble PROTEINT1 binding protein PROTEINT2 and characterize for PROTEINT0 binding activity in a number of different assay
AIMed_d168@5	Substitution of phenylalanine at position 93 Phe93 with alanine F93A mutation result in a drastic reduction in PROTEINT1 binding in the PROTEINT2
AIMed_d168@8	Furthermore the F93A mutation in full-length PROTEINT1 express in COS cell abolish detectable PROTEINT2 binding
AIMed_d168@11	These datum indicate that Phe93 be a critical PROTEINT1 binding determinant of the PROTEINT2
AIMed_d203@3	Three naturally occur ligand for the PROTEINT0 PROTEINT1 PROTEINT0 exist the agonist PROTEINT2 and PROTEINT0 and the PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 ref 2
AIMed_d203@3	Three naturally occur ligand for the PROTEINT0 PROTEINT0 PROTEINT1 exist the agonist PROTEINT0 and PROTEINT2 and the PROTEINT0 PROTEINT0 PROTEINT0 PROTEINT0 ref 2
AIMed_d203@3	Three naturally occur ligand for the PROTEINT0 PROTEINT0 PROTEINT0 exist the agonist PROTEINT0 and PROTEINT0 and the PROTEINT0 PROTEINT1 PROTEINT0 PROTEINT2 ref 2
AIMed_d203@5	Here we describe the crystal structure at 2.7 A resolution of the soluble extracellular part of PROTEINT1 PROTEINT0 complexe with PROTEINT2
AIMed_d114@6	We demonstrate that the 53 amino acid encode on exon 74 of PROTEINT1 an alternatively splice exon be necessary and sufficient for interaction with translate PROTEINT2 in our assay
AIMed_d114@8	In this recombinant expression system the PROTEINT0 relative human PROTEINT0 PROTEINT1 PROTEINT0 or PROTEINT0 and the PROTEINT0 from Torpedo electric organ also bind to translate PROTEINT2
